CAT,LOSS
48.049526,0
47.110535,-0.938991
44.474346,-2.636189
44.564766,0.09042
44.919495,0.354729
42.693707,-2.225788
43.695313,1.001606
45.079483,1.38417
45.531597,0.452114
43.966564,-1.565033
45.023827,1.057263
43.924843,-1.098984
45.434212,1.509369
46.24802,0.813808
44.933407,-1.314613
44.19611,-0.737297
42.944088,-1.252022
43.097115,0.153027
44.606491,1.509376
41.657307,-2.949184
41.455593,-0.201714
39.612347,-1.843246
36.322315,-3.290032
35.619804,-0.702511
34.221729,-1.398075
32.921028,-1.300701
33.143604,0.222576
31.161251,-1.982353
29.999664,-1.161587
34.416489,4.416825
33.032322,-1.384167
29.255409,-3.776913
29.76829,0.512881
27.625427,-2.142863
28.735497,1.11007
27.281162,-1.454335
25.658199,-1.622963
24.843206,-0.814993
23.395893,-1.447313
23.030554,-0.365339
24.555153,1.524599
25.39122,0.836067
26.255402,0.864182
26.838516,0.583114
27.407621,0.569105
29.683979,2.276358
28.384203,-1.299776
26.416983,-1.96722
27.014174,0.597191
26.283497,-0.730677
25.904104,-0.379393
24.646486,-1.257618
27.688656,3.04217
25.967329,-1.721327
25.082085,-0.885244
25.426342,0.344257
23.79636,-1.629982
23.072712,-0.723648
24.358418,1.285706
25.531729,1.173311
26.185137,0.653408
27.632448,1.447311
28.798733,1.166285
25.700357,-3.098376
26.698009,0.997652
27.857277,1.159268
26.360773,-1.496504
26.88069,0.519917
29.803413,2.922723
29.775312,-0.028101
30.681641,0.906329
29.648867,-1.032774
29.564541,-0.084326
29.655876,0.091335
30.772976,1.1171
31.370165,0.597189
29.620747,-1.749418
29.993109,0.372362
29.353764,-0.639345
28.897095,-0.456669
29.445099,0.548004
30.014194,0.569095
29.747206,-0.266988
30.674618,0.927412
31.384228,0.70961
32.957996,1.573768
32.374855,-0.583141
32.178139,-0.196716
30.681641,-1.496498
30.927549,0.245908
30.351421,-0.576128
28.939253,-1.412168
29.086788,0.147535
27.6465,-1.440288
27.973169,0.326669
28.086792,0.113623
27.213305,-0.873487
28.086792,0.873487
26.439224,-1.647568
25.324286,-1.114938
23.200901,-2.123385
22.952347,-0.248554
23.435251,0.482904
22.618574,-0.816677
21.908419,-0.710155
21.510723,-0.397696
21.297676,-0.213047
21.730875,0.433199
22.448137,0.717262
23.634098,1.185961
23.23641,-0.397688
21.958118,-1.278292
22.107262,0.149144
22.029139,-0.078123
21.972328,-0.056811
20.58042,-1.391908
20.19693,-0.38349
19.188499,-1.008431
18.932846,-0.255653
17.839197,-1.093649
18.492548,0.653351
17.775293,-0.717255
17.207163,-0.56813
17.477016,0.269853
15.744231,-1.732785
15.957276,0.213045
18.066452,2.109176
16.681639,-1.384813
16.497005,-0.184634
16.987005,0.49
18.826326,1.839321
18.684292,-0.142034
19.188499,0.504207
19.018063,-0.170436
18.762407,-0.255656
19.053574,0.291167
19.508076,0.454502
20.175629,0.667553
19.224012,-0.951617
21.042019,1.818007
20.878683,-0.163336
20.530704,-0.347979
21.858702,1.327998
21.553331,-0.305371
19.550684,-2.002647
19.856052,0.305368
20.587519,0.731467
22.398424,1.810905
22.831623,0.433199
22.235079,-0.596544
20.914186,-1.320893
20.999399,0.085213
23.094376,2.094977
23.54888,0.454504
23.222212,-0.326668
23.449453,0.227241
23.528576,0.079123
23.226477,-0.302099
21.924524,-1.301953
22.579088,0.654564
23.341562,0.762474
23.341562,0
24.19035,0.848788
24.017708,-0.172642
23.578934,-0.438774
24.233503,0.654569
25.592995,1.359492
26.801435,1.20844
27.678995,0.87756
28.347954,0.668959
28.772348,0.424394
27.276178,-1.49617
28.513382,1.237204
27.643032,-0.87035
27.376888,-0.266144
25.952654,-1.424234
25.945461,-0.007193
25.708094,-0.237367
27.175476,1.467382
27.09635,-0.079126
26.830204,-0.266146
25.564222,-1.265982
24.679476,-0.884746
25.175798,0.496322
25.211761,0.035963
24.88088,-0.330881
25.506674,0.625794
27.010038,1.503364
26.938101,-0.071937
26.36985,-0.568251
27.348108,0.978258
27.671793,0.323685
27.743732,0.071939
27.506361,-0.237371
27.060385,-0.445976
27.053192,-0.007193
27.139507,0.086315
25.981424,-1.158083
25.578611,-0.402813
25.031946,-0.546665
24.514038,-0.517908
24.204741,-0.309297
23.276817,-0.927924
23.737185,0.460368
24.024906,0.287721
24.808949,0.784043
24.859306,0.050357
24.988785,0.129479
23.765951,-1.222834
23.87385,0.107899
22.830851,-1.042999
22.80208,-0.028771
21.787855,-1.014225
21.996454,0.208599
22.046806,0.050352
21.960491,-0.086315
22.874016,0.913525
22.967522,0.093506
24.341398,1.373876
24.873096,0.531698
24.756561,-0.116535
26.693972,1.937411
28.740631,2.046659
28.157942,-0.582689
30.051643,1.893701
30.59063,0.538987
31.217005,0.626375
31.246153,0.029148
30.466816,-0.779337
31.617609,1.150793
32.091038,0.473429
32.863068,0.77203
34.880608,2.01754
33.970165,-0.910443
34.334343,0.364178
34.800484,0.466141
34.341614,-0.45887
33.707962,-0.633652
34.654812,0.94685
34.356182,-0.29863
33.504017,-0.852165
32.01091,-1.493107
32.855793,0.844883
32.89949,0.043697
33.139851,0.240361
34.450878,1.311027
34.640251,0.189373
34.836903,0.196652
34.414467,-0.422436
34.290646,-0.123821
34.021152,-0.269494
33.001465,-1.019687
