DIA,
157.859955,0
155.109741,-2.750214
153.823334,-1.286407
155.775116,1.951782
158.587433,2.812317
157.221191,-1.366242
156.35173,-0.869461
156.121078,-0.230652
154.41777,-1.703308
153.530594,-0.887176
155.091507,1.560913
155.295746,0.204239
155.695358,0.399612
157.977219,2.281861
156.636505,-1.340714
156.716461,0.079956
154.132614,-2.583847
152.472214,-1.6604
154.407837,1.935623
152.232452,-2.175385
153.84848,1.616028
156.565521,2.717041
156.743134,0.177613
158.536682,1.793548
158.12822,-0.408462
157.240311,-0.887909
158.501129,1.260818
158.669861,0.168732
159.682022,1.012161
160.126022,0.444
160.330261,0.204239
160.24144,-0.088821
159.904022,-0.337418
161.275146,1.371124
161.079269,-0.195877
161.960724,0.881455
162.005188,0.044464
162.049713,0.044525
161.319641,-0.730072
162.646271,1.32663
161.925049,-0.721222
160.954636,-0.970413
161.301834,0.347198
158.835617,-2.466217
160.082138,1.246521
157.31311,-2.769028
157.010498,-0.302612
159.343079,2.332581
158.087769,-1.25531
160.064285,1.976516
158.924683,-1.139602
160.91011,1.985427
159.957489,-0.952621
161.394287,1.436798
161.296158,-0.098129
160.386505,-0.909653
157.791153,-2.595352
157.398636,-0.392517
157.692963,0.294327
159.994049,2.301086
158.379715,-1.614334
157.630539,-0.749176
158.156799,0.52626
159.280548,1.123749
159.128937,-0.151611
159.423157,0.29422
160.00293,0.579773
160.868103,0.865173
160.216995,-0.651108
160.698608,0.481613
161.322906,0.624298
161.349686,0.02678
158.804367,-2.545319
160.669647,1.86528
159.982391,-0.687256
160.696381,0.71399
160.973099,0.276718
161.124802,0.151703
160.794464,-0.330338
161.392502,0.598038
160.705353,-0.687149
159.01857,-1.686783
160.553574,1.535004
161.035614,0.48204
159.759338,-1.276276
159.206024,-0.553314
160.000244,0.79422
162.293976,2.293732
161.60672,-0.687256
161.285461,-0.321259
161.312164,0.026703
162.909714,1.59755
163.216492,0.306778
163.39537,0.178878
163.619019,0.223649
163.422226,-0.196793
163.493729,0.071503
163.019775,-0.473954
161.329239,-1.690536
162.357803,1.028564
162.1521,-0.205703
161.096619,-1.055481
161.356064,0.259445
161.132416,-0.223648
161.785416,0.653
160.291687,-1.493729
159.656662,-0.635025
159.039444,-0.617218
158.950027,-0.089417
161.05191,2.101883
161.570709,0.518799
160.220093,-1.350616
159.298889,-0.921204
160.291687,0.992798
160.533188,0.241501
162.187912,1.654724
161.210373,-0.977539
162.250687,1.040314
162.430038,0.179351
160.89653,-1.533508
160.21489,-0.68164
160.645325,0.430435
157.515518,-3.129807
157.676941,0.161423
159.093857,1.416916
158.780045,-0.313812
158.448166,-0.331879
159.300217,0.852051
156.941559,-2.358658
157.174744,0.233185
159.102844,1.9281
161.066879,1.964035
161.721588,0.654709
161.73053,0.008942
162.385162,0.654632
162.063858,-0.321304
162.19841,0.134552
160.65451,-1.5439
160.05304,-0.60147
159.029739,-1.023301
157.557571,-1.472168
156.399628,-1.157943
158.087158,1.68753
159.119522,1.032364
159.083633,-0.035889
158.598801,-0.484832
157.764053,-0.834748
157.378067,-0.385986
157.41394,0.035873
156.390625,-1.023315
156.049515,-0.34111
158.159012,2.109497
156.291901,-1.867111
156.381592,0.089691
156.471375,0.089783
157.001068,0.529693
157.719116,0.718048
157.38707,-0.332046
155.959747,-1.427323
152.799973,-3.159774
148.063004,-4.736969
142.632492,-5.430512
140.930435,-1.702057
146.486984,5.556549
149.900116,3.413132
149.792084,-0.108032
148.756409,-1.035675
144.505692,-4.250717
147.207397,2.701705
147.396576,0.189179
144.965042,-2.431534
148.51326,3.548218
146.360886,-2.152374
147.144363,0.783477
148.044922,0.900559
147.486664,-0.558258
149.593948,2.107284
150.854706,1.260758
150.224365,-0.630341
147.569611,-2.654754
148.796783,1.227172
147.082352,-1.714431
146.712418,-0.369934
146.062744,-0.649674
146.97406,0.911316
144.185822,-2.788238
144.582855,0.397033
146.739471,2.156616
146.622177,-0.117294
148.508041,1.885864
151.215118,2.707077
151.314346,0.099228
152.451279,1.136933
153.732651,1.281372
154.084518,0.351867
154.454514,0.369996
153.976288,-0.478226
152.559586,-1.416702
154.589828,2.030242
155.167633,0.577805
155.384293,0.21666
155.285004,-0.099289
154.806549,-0.478455
157.80368,2.997131
159.221054,1.417374
158.90506,-0.315994
158.589142,-0.315918
160.403732,1.81459
160.132904,-0.270828
159.329437,-0.803467
160.800888,1.471451
161.658524,0.857636
161.279419,-0.379105
161.270309,-0.00911
161.721756,0.451447
160.169006,-1.55275
160.494034,0.325028
159.979446,-0.514588
157.68634,-2.293106
155.826675,-1.859665
158.00235,2.175675
158.128708,0.126358
160.448792,2.320084
160.38562,-0.063172
161.266891,0.881271
160.977066,-0.289825
161.194443,0.217377
161.149139,-0.045304
161.121994,-0.027145
160.515198,-0.606796
161.946167,1.430969
160.569519,-1.376648
158.341492,-2.228027
161.592911,3.251419
160.614746,-0.978165
159.192871,-1.421875
158.486435,-0.706436
159.292465,0.80603
156.43956,-2.852905
157.499283,1.059723
158.912079,1.412796
160.886475,1.974396
158.585999,-2.300476
155.234451,-3.351548
156.369202,1.134751
157.966904,1.597702
159.600922,1.634018
159.065414,-0.535508
158.847504,-0.21791
160.663116,1.815612
159.591904,-1.071212
157.948746,-1.643158
