DATE,price,price,price
2019/2/22,2792.669922,2792.669922,2792.669922
2019/3/1,2803.689941,2803.689941,2803.689941
2019/3/8,2743.070068,2743.070068,2743.070068
2019/3/15,2822.47998,2822.47998,2822.47998
2019/3/22,2800.709961,2800.709961,2800.709961
2019/3/29,2834.399902,2834.399902,2834.399902
2019/4/5,2892.73999,2892.73999,2892.73999
2019/4/12,2907.409912,2907.409912,2907.409912
2019/4/19,2905.030029,2905.030029,2905.030029
2019/4/26,2939.879883,2939.879883,2939.879883
2019/5/3,2945.639893,2945.639893,2945.639893
2019/5/10,2881.399902,2881.399902,2881.399902
2019/5/17,2859.530029,2859.530029,2859.530029
2019/5/24,2826.060059,2826.060059,2826.060059
2019/5/31,2752.060059,2752.060059,2752.060059
2019/6/7,2873.340088,2873.340088,2873.340088
2019/6/14,2886.97998,2886.97998,2886.97998
2019/6/21,2950.459961,2950.459961,2950.459961
2019/6/28,2941.76001,2941.76001,2941.76001
2019/7/5,2990.409912,2990.409912,2990.409912
2019/7/12,3013.77002,3013.77002,3013.77002
2019/7/19,2976.610107,2976.610107,2976.610107
2019/7/26,3025.860107,3025.860107,3025.860107
2019/8/2,2932.050049,2932.050049,2932.050049
2019/8/9,2918.649902,2918.649902,2918.649902
2019/8/16,2888.679932,2888.679932,2888.679932
2019/8/23,2847.110107,2847.110107,2847.110107
2019/8/30,2926.459961,2926.459961,2926.459961
2019/9/6,2978.709961,2978.709961,2978.709961
2019/9/13,3007.389893,3007.389893,3007.389893
2019/9/20,2992.070068,2992.070068,2992.070068
2019/9/27,2961.790039,2961.790039,2961.790039
2019/10/4,2952.01001,2952.01001,2952.01001
2019/10/11,2970.27002,2970.27002,2970.27002
2019/10/18,2986.199951,2986.199951,2986.199951
2019/10/25,3022.550049,3022.550049,3022.550049
2019/11/1,3066.909912,3066.909912,3066.909912
2019/11/8,3093.080078,3093.080078,3093.080078
2019/11/15,3120.459961,3120.459961,3120.459961
2019/11/22,3110.290039,3110.290039,3110.290039
2019/11/29,3140.97998,3140.97998,3140.97998
2019/12/6,3145.909912,3145.909912,3145.909912
2019/12/13,3168.800049,3168.800049,3168.800049
2019/12/20,3221.219971,3221.219971,3221.219971
2019/12/27,3240.02002,3240.02002,3240.02002
2020/1/3,3234.850098,3234.850098,3234.850098
2020/1/10,3265.350098,3265.350098,3265.350098
2020/1/17,3329.620117,3329.620117,3329.620117
2020/1/24,3295.469971,3295.469971,3295.469971
2020/1/31,3225.52002,3225.52002,3225.52002
2020/2/7,3327.709961,3327.709961,3327.709961
2020/2/14,3380.159912,3380.159912,3380.159912
2020/2/21,3337.75,3337.75,3337.75
2020/2/28,2954.219971,2954.219971,2954.219971
2020/3/6,2972.370117,2972.370117,2972.370117
2020/3/13,2711.02002,2711.02002,2711.02002
2020/3/20,2304.919922,2304.919922,2304.919922
2020/3/27,2541.469971,2541.469971,2541.469971
2020/4/3,2488.649902,2488.649902,2488.649902
2020/4/10,2789.820068,2789.820068,2789.820068
2020/4/17,2874.560059,2874.560059,2874.560059
