DATE,interet rate,weekly change
2019/2/22,0.724,-0.073
2019/3/1,0.803,0.079
2019/3/8,0.718,-0.085
2019/3/15,0.639,-0.079
2019/3/22,0.534,-0.105
2019/3/29,0.526,-0.008
2019/4/5,0.583,0.057
2019/4/12,0.583,0
2019/4/19,0.6,0.017
2019/4/26,0.52,-0.08
2019/5/3,0.604,0.084
2019/5/10,0.568,-0.036
2019/5/17,0.556,-0.012
2019/5/24,0.544,-0.012
2019/5/31,0.386,-0.158
2019/6/7,0.334,-0.052
2019/6/14,0.442,0.108
2019/6/21,0.311,-0.131
2019/6/28,0.302,-0.009
2019/7/5,0.338,0.036
2019/7/12,0.318,-0.02
2019/7/19,0.293,-0.025
2019/7/26,0.335,0.042
2019/8/2,0.246,-0.089
2019/8/9,0.118,-0.128
2019/8/16,0.056,-0.062
2019/8/23,0.04,-0.016
2019/8/30,0.008,-0.032
2019/9/6,0.07,0.062
2019/9/13,0.3,0.23
2019/9/20,0.21,-0.09
2019/9/27,0.213,0.003
2019/10/4,0.08,-0.133
2019/10/11,0.243,0.163
2019/10/18,0.211,-0.032
2019/10/25,0.209,-0.002
2019/11/1,0.193,-0.016
2019/11/8,0.274,0.081
2019/11/15,0.262,-0.012
2019/11/22,0.205,-0.057
2019/11/29,0.217,0.012
2019/12/6,0.187,-0.03
2019/12/13,0.154,-0.033
2019/12/20,0.184,0.03
2019/12/27,0.18,-0.004
2020/1/3,0.056,-0.124
2020/1/10,0.112,0.056
2020/1/17,0.111,-0.001
2020/1/24,0.001,-0.11
2020/1/31,-0.127,-0.128
2020/2/7,-0.082,0.045
2020/2/14,-0.098,-0.016
2020/2/21,-0.168,-0.07
2020/2/28,-0.291,-0.123
2020/3/6,-0.498,-0.207
2020/3/13,0.298,0.796
2020/3/20,0.594,0.296
2020/3/27,-0.08,-0.674
2020/4/3,-0.306,-0.226
2020/4/10,-0.359,-0.053
2020/4/17,-0.243,0.116
